ID,SMILES,M-fortuitum,M-kansasii,M-bovis,M-tuberculosis-MABA,M-tuberculosis-LORA,M-smegmatis,M-abcessus,M-tuberculosis-BACTEC,task_concatenada
12534,CC1(O)CC(=O)c2c(ccc3c2C(=O)c2cccc(O)c2C3=O)C1,,,,,,0.0,,,
11554,CN1Cc2c(c(O)n(-c3ccc(Cl)cc3)c2O)C12C(=O)c1ccccc1C2=O,,,,0.0,,,,,
5156,COC(=O)C(=Cc1ccccc1Cl)CSC#N,,,,0.0,,,,,
17522,Cc1nnc(Sc2c(-c3ccc(Br)cc3)nc3ccccc3c2-c2ccccc2)s1,,,,,,,,,1.0
4346,CCCN(CCC)C(=O)C=CC(=O)c1ccc(OCC)cc1,,,,1.0,,,,,
16656,ON=C(S)NN=Cc1ccccc1O,,,,,,,,,0.0
4833,COc1cccc(C(c2cc3cc(Cl)ccc3nc2OC)C(O)(CCN(C)C)c2cccc(OC)c2OC)c1OC,,,,1.0,,,,,
15680,O=C1C(Cl)C(c2cc3ccccc3[nH]c2=S)N1c1ccccc1[N+](=O)[O-],,,,,,,,0.0,
6523,O=C(NCc1ccccc1)Oc1ccc(Cl)cc1C(=O)Nc1ccc(Cl)cc1,,,,1.0,,1.0,,,
13736,O=[N+]([O-])c1cc(-c2nnn(Cc3cccc(Br)c3)n2)cc([N+](=O)[O-])c1,,,,,,,,,1.0
5332,O=C(COc1ccc2ccccc2c1)Nc1ccc2c(c1)COC2=O,,,,0.0,,,,,
9338,O=[N+]([O-])c1cn2c(n1)OCC(OCc1cc(-c3ccc(OC(F)(F)F)cc3)no1)C2,,,,1.0,1.0,,,,
15954,CCCCCCCCCCCCC#Cc1cn(C2C=CC(O)C2)c(=O)[nH]c1=O,,,,,,,,0.0,
5223,NCCCCCCCCCN,,,,0.0,,,,,
1699,Cc1nc(C)c(-c2nn(-c3ccc(F)cc3)cc2C=CC(=O)c2cc(Br)ccc2O)s1,,,0.0,,,,,,0.0
